id,sku,name,slug,category,category_id,description,short_description,price,cost_price,compare_at_price,profit_margin,stock_quantity,low_stock_threshold,stock,is_in_stock,status,product_type,visibility,published_at,created_at,updated_at,track_inventory,allow_backorders,is_featured,is_bestseller,weight,dimensions,brand,tags,meta_title,meta_description,meta_keywords,features,image_url,featured_image_url,gallery,gallery_images,average_rating,review_count,sales_count,total_sold,total_revenue,is_digital,digital_file_url,digital_file_type,digital_file_size,download_limit,download_expiry_days,file_path,video_url
,Reinforcement bars Y-8,Reinforcement bars Y-8,reinforcement-bars-y-8,Steel & Reinforcement,,Y-8 reinforcement steel bars,Reinforcement bars Y-8,750,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,8,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""steel"", ""rebar"", ""construction""}",Reinforcement bars Y-8,Medium reinforcement bars,"{""rebar"", ""steel"", ""construction""}","{""High tensile strength"", ""Corrosion resistant""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Chain links 4 feet,Chain links 4 feet,chain-links-4-feet,Steel & Reinforcement,,4 feet chain links for fencing,Chain links 4 feet,3000,0,0,0,0,2,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,5,"{""length"": 4, ""width"": 0, ""height"": 0}",,"{""chain"", ""fencing"", ""security""}",Chain links 4 feet,4 feet fencing chain links,"{""chain"", ""fencing"", ""security""}","{""Durable"", ""Rust resistant""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Chain links 5 feet,Chain links 5 feet,chain-links-5-feet,Steel & Reinforcement,,5 feet chain links for fencing,Chain links 5 feet,3500,0,0,0,0,2,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,6,"{""length"": 5, ""width"": 0, ""height"": 0}",,"{""chain"", ""fencing"", ""security""}",Chain links 5 feet,5 feet fencing chain links,"{""chain"", ""fencing"", ""security""}","{""Durable"", ""Rust resistant""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Chain links 6 feet,Chain links 6 feet,chain-links-6-feet,Steel & Reinforcement,,6 feet chain links for fencing,Chain links 6 feet,4000,0,0,0,0,2,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,7,"{""length"": 6, ""width"": 0, ""height"": 0}",,"{""chain"", ""fencing"", ""security""}",Chain links 6 feet,6 feet fencing chain links,"{""chain"", ""fencing"", ""security""}","{""Durable"", ""Rust resistant""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Hoop iron (Metres),Hoop iron (Metres),hoop-iron-metres,Steel & Reinforcement,,Hoop iron by the metre,Hoop iron per metre,200,0,0,0,0,5,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,2,"{""length"": 1, ""width"": 0, ""height"": 0}",,"{""iron"", ""hoop"", ""binding""}",Hoop iron (Metres),Hoop iron sold by metre,"{""hoop iron"", ""binding"", ""metal""}","{""Flexible"", ""Strong""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Hoop iron (Roll),Hoop iron (Roll),hoop-iron-roll,Steel & Reinforcement,,Hoop iron in roll form,Hoop iron roll,2500,0,0,0,0,2,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,20,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""iron"", ""hoop"", ""binding""}",Hoop iron (Roll),Complete hoop iron roll,"{""hoop iron"", ""binding"", ""metal""}","{""Flexible"", ""Strong""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Mesh wire H- gauge,Mesh wire H- gauge,mesh-wire-h-gauge,Steel & Reinforcement,,Heavy gauge mesh wire,Mesh wire H-gauge,1100,0,0,0,0,2,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,15,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""mesh"", ""wire"", ""fencing""}",Mesh wire H- gauge,Heavy gauge mesh wire,"{""mesh"", ""wire"", ""fencing""}","{""Strong"", ""Durable""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Mesh wire L - gauge,Mesh wire L - gauge,mesh-wire-l-gauge,Steel & Reinforcement,,Light gauge mesh wire,Mesh wire L-gauge,600,0,0,0,0,2,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,8,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""mesh"", ""wire"", ""fencing""}",Mesh wire L - gauge,Light gauge mesh wire,"{""mesh"", ""wire"", ""fencing""}","{""Lightweight"", ""Flexible""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Mesh wire M-gauge,Mesh wire M-gauge,mesh-wire-m-gauge,Steel & Reinforcement,,Medium gauge mesh wire,Mesh wire M-gauge,850,0,0,0,0,2,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,12,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""mesh"", ""wire"", ""fencing""}",Mesh wire M-gauge,Medium gauge mesh wire,"{""mesh"", ""wire"", ""fencing""}","{""Balanced strength"", ""Versatile""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Mitra Barbed wire 480mtrs,Mitra Barbed wire 480mtrs,mitra-barbed-wire-480mtrs,Steel & Reinforcement,,480 metres barbed wire,Barbed wire 480m,4500,0,0,0,0,2,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,25,"{""length"": 480, ""width"": 0, ""height"": 0}",Mitra,"{""barbed wire"", ""fencing"", ""security""}",Mitra Barbed wire 480mtrs,480m barbed wire roll,"{""barbed wire"", ""fencing"", ""security""}","{""Security"", ""Deterrent""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Mitra Barbed wire 610mtrs,Mitra Barbed wire 610mtrs,mitra-barbed-wire-610mtrs,Steel & Reinforcement,,610 metres barbed wire,Barbed wire 610m,5500,0,0,0,0,2,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,30,"{""length"": 610, ""width"": 0, ""height"": 0}",Mitra,"{""barbed wire"", ""fencing"", ""security""}",Mitra Barbed wire 610mtrs,610m barbed wire roll,"{""barbed wire"", ""fencing"", ""security""}","{""Security"", ""Deterrent""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Flats Bar 1.5",Flats Bar 1.5",flats-bar-1-5,Steel & Reinforcement,,1.5 inch flat steel bar,Flats Bar 1.5",650,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,5,"{""length"": 0, ""width"": 1.5, ""height"": 0}",,"{""steel"", ""bar"", ""metal""}",Flats Bar 1.5",1.5 inch flat steel bar,"{""steel bar"", ""flat bar"", ""metal""}","{""Strong"", ""Versatile""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Flats Bar 1',Flats Bar 1',flats-bar-1,Steel & Reinforcement,,1 inch flat steel bar,Flats Bar 1',450,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,4,"{""length"": 0, ""width"": 1, ""height"": 0}",,"{""steel"", ""bar"", ""metal""}",Flats Bar 1',1 inch flat steel bar,"{""steel bar"", ""flat bar"", ""metal""}","{""Strong"", ""Versatile""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Flats Bar 3/4",Flats Bar 3/4",flats-bar-3-4,Steel & Reinforcement,,3/4 inch flat steel bar,Flats Bar 3/4",300,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,3,"{""length"": 0, ""width"": 0.75, ""height"": 0}",,"{""steel"", ""bar"", ""metal""}",Flats Bar 3/4",3/4 inch flat steel bar,"{""steel bar"", ""flat bar"", ""metal""}","{""Strong"", ""Versatile""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Binding wire,Binding wire,binding-wire,Steel & Reinforcement,,Binding wire for construction,Binding wire,3500,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,5,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""wire"", ""binding"", ""construction""}",Binding wire,Construction binding wire,"{""binding wire"", ""construction"", ""tying""}","{""Flexible"", ""Strong""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Chicken wire 3 feet,Chicken wire 3 feet,chicken-wire-3-feet,Steel & Reinforcement,,3 feet chicken wire,Chicken wire 3 feet,1800,0,0,0,0,2,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,3,"{""length"": 3, ""width"": 0, ""height"": 0}",,"{""chicken wire"", ""fencing"", ""poultry""}",Chicken wire 3 feet,3 feet chicken wire,"{""chicken wire"", ""fencing"", ""poultry""}","{""Protective"", ""Durable""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Chicken wire 3 feet (M),Chicken wire 3 feet (M),chicken-wire-3-feet-m,Steel & Reinforcement,,3 feet medium chicken wire,Chicken wire 3 feet (M),150,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,2,"{""length"": 3, ""width"": 0, ""height"": 0}",,"{""chicken wire"", ""fencing"", ""poultry""}",Chicken wire 3 feet (M),Medium gauge chicken wire,"{""chicken wire"", ""fencing"", ""poultry""}","{""Protective"", ""Durable""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Green gauze wire (Meters),Green gauze wire (Meters),green-gauze-wire-meters,Steel & Reinforcement,,Green gauze wire by metre,Green gauze wire per metre,150,0,0,0,0,5,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,1,"{""length"": 1, ""width"": 0, ""height"": 0}",,"{""gauze"", ""wire"", ""mesh""}",Green gauze wire (Meters),Green gauze wire sold by metre,"{""gauze wire"", ""mesh"", ""green""}","{""Flexible"", ""Decorative""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Green gauze wire Roll,Green gauze wire Roll,green-gauze-wire-roll,Steel & Reinforcement,,Green gauze wire in roll,Green gauze wire roll,2500,0,0,0,0,2,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,20,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""gauze"", ""wire"", ""mesh""}",Green gauze wire Roll,Complete gauze wire roll,"{""gauze wire"", ""mesh"", ""green""}","{""Flexible"", ""Decorative""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Coffetry wire mesh,Coffetry wire mesh,coffetry-wire-mesh,Steel & Reinforcement,,Coffetry wire mesh,Coffetry wire mesh,350,0,0,0,0,1,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,3,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""wire mesh"", ""coffetry"", ""construction""}",Coffetry wire mesh,Coffetry construction wire mesh,"{""wire mesh"", ""coffetry"", ""construction""}","{""Strong"", ""Supportive""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Maisha iron sheets 2m,Maisha iron sheets 2m,maisha-iron-sheets-2m,Roofing Materials,,2m Maisha iron sheets,Maisha sheets 2m,800,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,8,"{""length"": 2, ""width"": 1, ""height"": 0}",Maisha,"{""iron sheets"", ""roofing"", ""maisha""}",Maisha iron sheets 2m,2m Maisha roofing sheets,"{""maisha"", ""iron sheets"", ""roofing""}","{""Weather resistant"", ""Durable""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Maisha Iron sheet 2.5m,Maisha Iron sheet 2.5m,maisha-iron-sheet-2-5m,Roofing Materials,,2.5m Maisha iron sheets,Maisha sheets 2.5m,1000,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,10,"{""length"": 2.5, ""width"": 1, ""height"": 0}",Maisha,"{""iron sheets"", ""roofing"", ""maisha""}",Maisha Iron sheet 2.5m,2.5m Maisha roofing sheets,"{""maisha"", ""iron sheets"", ""roofing""}","{""Weather resistant"", ""Durable""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Maisha iron sheets 3m,Maisha iron sheets 3m,maisha-iron-sheets-3m,Roofing Materials,,3m Maisha iron sheets,Maisha sheets 3m,1200,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,12,"{""length"": 3, ""width"": 1, ""height"": 0}",Maisha,"{""iron sheets"", ""roofing"", ""maisha""}",Maisha iron sheets 3m,3m Maisha roofing sheets,"{""maisha"", ""iron sheets"", ""roofing""}","{""Weather resistant"", ""Durable""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Maisha Ridges,Maisha Ridges,maisha-ridges,Roofing Materials,,Maisha roof ridges,Maisha ridges,280,0,0,0,0,5,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,3,"{""length"": 0, ""width"": 0, ""height"": 0}",Maisha,"{""ridges"", ""roofing"", ""maisha""}",Maisha Ridges,Maisha roofing ridges,"{""maisha"", ""ridges"", ""roofing""}","{""Weather resistant"", ""Durable""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Dumu-Zas sheets 2m,Dumu-Zas sheets 2m,dumu-zas-sheets-2m,Roofing Materials,,2m Dumu-Zas iron sheets,Dumu-Zas sheets 2m,900,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,8,"{""length"": 2, ""width"": 1, ""height"": 0}",Dumu-Zas,"{""iron sheets"", ""roofing"", ""dumu-zas""}",Dumu-Zas sheets 2m,2m Dumu-Zas roofing sheets,"{""dumu-zas"", ""iron sheets"", ""roofing""}","{""Weather resistant"", ""Durable""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Dumu-Zas sheets 2.5m,Dumu-Zas sheets 2.5m,dumu-zas-sheets-2-5m,Roofing Materials,,2.5m Dumu-Zas iron sheets,Dumu-Zas sheets 2.5m,1150,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,10,"{""length"": 2.5, ""width"": 1, ""height"": 0}",Dumu-Zas,"{""iron sheets"", ""roofing"", ""dumu-zas""}",Dumu-Zas sheets 2.5m,2.5m Dumu-Zas roofing sheets,"{""dumu-zas"", ""iron sheets"", ""roofing""}","{""Weather resistant"", ""Durable""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Dumu-Zas sheets 3m,Dumu-Zas sheets 3m,dumu-zas-sheets-3m,Roofing Materials,,3m Dumu-Zas iron sheets,Dumu-Zas sheets 3m,1350,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,12,"{""length"": 3, ""width"": 1, ""height"": 0}",Dumu-Zas,"{""iron sheets"", ""roofing"", ""dumu-zas""}",Dumu-Zas sheets 3m,3m Dumu-Zas roofing sheets,"{""dumu-zas"", ""iron sheets"", ""roofing""}","{""Weather resistant"", ""Durable""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Dumu Zas Ridges,Dumu Zas Ridges,dumu-zas-ridges,Roofing Materials,,Dumu-Zas roof ridges,Dumu-Zas ridges,350,0,0,0,0,5,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,3,"{""length"": 0, ""width"": 0, ""height"": 0}",Dumu-Zas,"{""ridges"", ""roofing"", ""dumu-zas""}",Dumu Zas Ridges,Dumu-Zas roofing ridges,"{""dumu-zas"", ""ridges"", ""roofing""}","{""Weather resistant"", ""Durable""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Roofing nails,Roofing nails,roofing-nails,Roofing Materials,,Roofing nails for iron sheets,Roofing nails,280,0,0,0,0,10,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,1,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""nails"", ""roofing"", ""fasteners""}",Roofing nails,Roofing installation nails,"{""roofing nails"", ""fasteners"", ""construction""}","{""Galvanized"", ""Rust resistant""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Roofing washers polythene,Roofing washers polythene,roofing-washers-polythene,Roofing Materials,,Polythene roofing washers,Roofing washers,100,0,0,0,0,10,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,0.1,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""washers"", ""roofing"", ""polythene""}",Roofing washers polythene,Polythene roofing washers,"{""roofing washers"", ""polythene"", ""sealing""}","{""Waterproof"", ""Durable""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Ventilations premium,Ventilations premium,ventilations-premium,Roofing Materials,,Premium roof ventilations,Roof ventilations,100,0,0,0,0,10,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,2,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""ventilation"", ""roofing"", ""airflow""}",Ventilations premium,Premium roof ventilation,"{""ventilation"", ""roofing"", ""airflow""}","{""Improves airflow"", ""Weather resistant""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Ceiling nails (25kg) (1 1/2"),Ceiling nails (25kg) (1 1/2"),ceiling-nails-25kg-1-1-2,Roofing Materials,,1.5 inch ceiling nails,25kg ceiling nails,300,0,0,0,0,10,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,25,"{""length"": 1.5, ""width"": 0, ""height"": 0}",,"{""nails"", ""ceiling"", ""fasteners""}",Ceiling nails (25kg) (1 1/2"),1.5 inch ceiling nails,"{""ceiling nails"", ""fasteners"", ""construction""}","{""Galvanized"", ""Strong""}",,,,,0,0,0,0,0,false,,,,,,,,,
,U-nails (25kg),U-nails (25kg),u-nails-25kg,Roofing Materials,,25kg U-nails for roofing,U-nails 25kg,300,0,0,0,0,5,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,25,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""u-nails"", ""roofing"", ""fasteners""}",U-nails (25kg),25kg U-nails for roofing,"{""u-nails"", ""roofing"", ""fasteners""}","{""Galvanized"", ""Rust resistant""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Black oxide,Black oxide,black-oxide,Finishes & Paints,,Black oxide paint,Black oxide,350,0,0,0,0,5,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,1,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""paint"", ""oxide"", ""black""}",Black oxide,Black oxide paint,"{""black oxide"", ""paint"", ""finish""}","{""Rust resistant"", ""Durable finish""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Grey oxide,Grey oxide,grey-oxide,Finishes & Paints,,Grey oxide paint,Grey oxide,350,0,0,0,0,5,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,1,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""paint"", ""oxide"", ""grey""}",Grey oxide,Grey oxide paint,"{""grey oxide"", ""paint"", ""finish""}","{""Rust resistant"", ""Durable finish""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Green oxide,Green oxide,green-oxide,Finishes & Paints,,Green oxide paint,Green oxide,350,0,0,0,0,5,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,1,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""paint"", ""oxide"", ""green""}",Green oxide,Green oxide paint,"{""green oxide"", ""paint"", ""finish""}","{""Rust resistant"", ""Durable finish""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Red-oxide,Red-oxide,red-oxide,Finishes & Paints,,Red oxide paint,Red oxide,350,0,0,0,0,5,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,1,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""paint"", ""oxide"", ""red""}",Red-oxide,Red oxide paint,"{""red oxide"", ""paint"", ""finish""}","{""Rust resistant"", ""Durable finish""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Wood preservative,Wood preservative,wood-preservative,Finishes & Paints,,Wood preservative treatment,Wood preservative,950,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,1,"{""length"": 0, ""width"": 0, ""height"": 0}",,"{""wood"", ""preservative"", ""treatment""}",Wood preservative,Wood protection preservative,"{""wood preservative"", ""treatment"", ""protection""}","{""Water resistant"", ""Insect repellent""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Paint brushes (S10) 1",Paint brushes (S10) 1",paint-brushes-s10-1,Finishes & Paints,,1 inch S10 paint brush,Paint brush 1",0,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,0.2,"{""length"": 0, ""width"": 0, ""height"": 0}",S10,"{""paint brush"", ""brushes"", ""painting""}",Paint brushes (S10) 1",1 inch paint brush,"{""paint brush"", ""s10"", ""painting""}","{""Soft bristles"", ""Comfortable grip""}",,,,,0,0,0,0,0,false,,,,,,,,,
,Paint brushes (S10) 2",Paint brushes (S10) 2",paint-brushes-s10-2,Finishes & Paints,,2 inch S10 paint brush,Paint brush 2",0,0,0,0,0,3,0,false,Out of Stock,Product,published,2024-01-01,2024-01-01,2024-01-01,true,false,false,false,0.3,"{""length"": 0, ""width"": 0, ""height"": 0}",S10,"{""paint brush"", ""brushes"", ""painting""}",Paint brushes (S10) 2",2 inch paint brush,"{""paint brush"", ""s10"", ""painting""}","{""Soft bristles"", ""Comfortable grip""}",,,,,0,0,0,0,0,false,,,,,,,,,
